Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
179.111 ,183.428 ,75.892 ,595.587 ,45.00132372495357,79.76324704033385,14.467596917125595,155,145,6.122733E-3 ,5.027152E-3 ,61.024,7,28.935,3.276,200.587E-6 ,1.770,1.703,5.311,20.270,1.699 ,10.243,16.740,15.707,30.729,0.782415,0.315414,6.348 ,2.571950113378685
150.215 ,40.736 ,77.455 ,363.763 ,60.68726382354262,74.79424799842312,39.02748912716639,392,379,6.695204E-3 ,1.475735E-3 ,12.102,9,16.536,2.353,157.520E-6 ,1.059,1.236,3.178,13.868,1.273 ,6.064,8.447,13.357,18.192,0.824669,0.257370,7.999 ,3.172766439909297
150.758 ,31.610 ,118.508 ,271.549 ,54.66086054196938,75.43152027205663,15.556018645854817,184,177,6.662365E-3 ,1.203819E-3 ,32.075,5,18.078,2.924,194.817E-6 ,1.110,1.294,3.331,14.626,1.460 ,5.673,7.543,10.539,17.020,0.825864,0.257063,8.496 ,2.1539909297052153
160.683 ,76.741 ,76.491 ,590.285 ,57.20498613944632,75.74298933980701,16.48500310774689,1220,1185,6.288835E-3 ,1.948774E-3 ,19.080,26,20.913,2.019,126.985E-6 ,0.978,1.218,2.933,12.979,1.294 ,5.841,9.193,16.597,17.522,0.844973,0.232759,9.334 ,10.251950113378685
162.361 ,48.225 ,124.330 ,582.016 ,58.61404003617952,74.90798552362182,29.13787358981292,1135,1095,6.210387E-3 ,1.265550E-3 ,21.002,22,24.607,2.262,140.458E-6 ,1.142,1.355,3.426,14.451,1.371 ,6.527,9.424,16.240,19.580,0.819952,0.275062,8.154 ,9.416031746031747
173.961 ,89.973 ,75.904 ,555.578 ,58.43331399167707,74.34650899553652,32.15713355103396,418,401,5.822994E-3 ,1.986527E-3 ,16.832,6,7.053,2.370,137.989E-6 ,1.195,1.354,3.584,14.456,1.443 ,6.067,9.884,18.932,18.202,0.822850,0.268004,8.578 ,3.06827664399093
152.702 ,64.363 ,78.208 ,573.557 ,56.99840411770514,74.62816919246842,32.51342548998455,1015,980,6.604575E-3 ,1.689226E-3 ,21.812,21,20.276,2.153,142.221E-6 ,1.073,1.318,3.219,13.864,1.387 ,6.180,9.072,16.040,18.541,0.805041,0.301491,7.679 ,8.971950113378686
149.847 ,43.482 ,75.170 ,530.764 ,57.099649973266445,74.03723997557712,32.616676320542076,1377,1346,6.689637E-3 ,1.251213E-3 ,16.952,24,17.958,1.710,114.407E-6 ,0.807,1.019,2.422,14.417,1.388 ,6.153,8.962,15.581,18.458,0.837446,0.237417,8.721 ,11.714807256235828
138.379 ,16.335 ,101.873 ,189.098 ,54.82200743709654,72.5447925453352,30.749466424884062,791,769,7.255226E-3 ,0.872923E-3 ,22.832,19,27.382,1.865,135.283E-6 ,0.914,1.092,2.743,14.771,1.380 ,6.586,9.975,16.339,19.759,0.843390,0.233815,9.002 ,7.874807256235828
179.328 ,110.380 ,78.794 ,607.781 ,48.6548683990642,73.49515713477291,-1.3029520449832606,1793,1714,5.712325E-3 ,2.341668E-3 ,32.270,35,23.417,2.390,136.548E-6 ,1.205,1.461,3.616,16.425,1.477 ,7.345,11.670,20.035,22.034,0.818515,0.269624,8.060 ,16.338480725623583
